year,people,status,quarter,year_quarter,status_num
2004,341.40,Arrival,Q1,2004 Q1,1
2004,350.17,Arrival,Q2,2004 Q2,1
2004,358.95,Arrival,Q3,2004 Q3,1
2004,367.73,Arrival,Q4,2004 Q4,1
2005,376.50,Arrival,Q1,2005 Q1,1
2005,391.73,Arrival,Q2,2005 Q2,1
2005,406.95,Arrival,Q3,2005 Q3,1
2005,422.17,Arrival,Q4,2005 Q4,1
2006,437.40,Arrival,Q1,2006 Q1,1
2006,453.38,Arrival,Q2,2006 Q2,1
2006,469.35,Arrival,Q3,2006 Q3,1
2006,485.33,Arrival,Q4,2006 Q4,1
2007,501.30,Arrival,Q1,2007 Q1,1
2007,505.93,Arrival,Q2,2007 Q2,1
2007,510.55,Arrival,Q3,2007 Q3,1
2007,515.18,Arrival,Q4,2007 Q4,1
2008,519.80,Arrival,Q1,2008 Q1,1
2008,499.32,Arrival,Q2,2008 Q2,1
2008,478.85,Arrival,Q3,2008 Q3,1
2008,458.38,Arrival,Q4,2008 Q4,1
2009,437.90,Arrival,Q1,2009 Q1,1
2009,436.38,Arrival,Q2,2009 Q2,1
2009,434.85,Arrival,Q3,2009 Q3,1
2009,433.33,Arrival,Q4,2009 Q4,1
2010,431.80,Arrival,Q1,2010 Q1,1
2010,444.15,Arrival,Q2,2010 Q2,1
2010,456.50,Arrival,Q3,2010 Q3,1
2010,468.85,Arrival,Q4,2010 Q4,1
2011,481.20,Arrival,Q1,2011 Q1,1
2011,486.58,Arrival,Q2,2011 Q2,1
2011,491.95,Arrival,Q3,2011 Q3,1
2011,497.33,Arrival,Q4,2011 Q4,1
2012,502.70,Arrival,Q1,2012 Q1,1
2012,501.35,Arrival,Q2,2012 Q2,1
2012,500.00,Arrival,Q3,2012 Q3,1
2012,498.65,Arrival,Q4,2012 Q4,1
2013,497.30,Arrival,Q1,2013 Q1,1
2013,492.03,Arrival,Q2,2013 Q2,1
2013,486.75,Arrival,Q3,2013 Q3,1
2013,481.48,Arrival,Q4,2013 Q4,1
2014,476.20,Arrival,Q1,2014 Q1,1
2014,479.10,Arrival,Q2,2014 Q2,1
2014,482.00,Arrival,Q3,2014 Q3,1
2014,484.90,Arrival,Q4,2014 Q4,1
2015,487.80,Arrival,Q1,2015 Q1,1
2015,493.00,Arrival,Q2,2015 Q2,1
2015,498.20,Arrival,Q3,2015 Q3,1
2015,503.40,Arrival,Q4,2015 Q4,1
2016,508.60,Arrival,Q1,2016 Q1,1
2016,513.20,Arrival,Q2,2016 Q2,1
2016,517.80,Arrival,Q3,2016 Q3,1
2016,522.40,Arrival,Q4,2016 Q4,1
2004,198.80,Leaving,Q1,2004 Q1,2
2004,200.28,Leaving,Q2,2004 Q2,2
2004,201.75,Leaving,Q3,2004 Q3,2
2004,203.23,Leaving,Q4,2004 Q4,2
2005,204.70,Leaving,Q1,2005 Q1,2
2005,204.67,Leaving,Q2,2005 Q2,2
2005,204.65,Leaving,Q3,2005 Q3,2
2005,204.63,Leaving,Q4,2005 Q4,2
2006,204.60,Leaving,Q1,2006 Q1,2
2006,209.45,Leaving,Q2,2006 Q2,2
2006,214.30,Leaving,Q3,2006 Q3,2
2006,219.15,Leaving,Q4,2006 Q4,2
2007,224.00,Leaving,Q1,2007 Q1,2
2007,222.98,Leaving,Q2,2007 Q2,2
2007,221.95,Leaving,Q3,2007 Q3,2
2007,220.93,Leaving,Q4,2007 Q4,2
2008,219.90,Leaving,Q1,2008 Q1,2
2008,225.40,Leaving,Q2,2008 Q2,2
2008,230.90,Leaving,Q3,2008 Q3,2
2008,236.40,Leaving,Q4,2008 Q4,2
2009,241.90,Leaving,Q1,2009 Q1,2
2009,244.28,Leaving,Q2,2009 Q2,2
2009,246.65,Leaving,Q3,2009 Q3,2
2009,249.03,Leaving,Q4,2009 Q4,2
2010,251.40,Leaving,Q1,2010 Q1,2
2010,251.50,Leaving,Q2,2010 Q2,2
2010,251.60,Leaving,Q3,2010 Q3,2
2010,251.70,Leaving,Q4,2010 Q4,2
2011,251.80,Leaving,Q1,2011 Q1,2
2011,254.75,Leaving,Q2,2011 Q2,2
2011,257.70,Leaving,Q3,2011 Q3,2
2011,260.65,Leaving,Q4,2011 Q4,2
2012,263.60,Leaving,Q1,2012 Q1,2
2012,265.95,Leaving,Q2,2012 Q2,2
2012,268.30,Leaving,Q3,2012 Q3,2
2012,270.65,Leaving,Q4,2012 Q4,2
2013,273.00,Leaving,Q1,2013 Q1,2
2013,265.70,Leaving,Q2,2013 Q2,2
2013,258.40,Leaving,Q3,2013 Q3,2
2013,251.10,Leaving,Q4,2013 Q4,2
2014,243.80,Leaving,Q1,2014 Q1,2
2014,243.23,Leaving,Q2,2014 Q2,2
2014,242.65,Leaving,Q3,2014 Q3,2
2014,242.08,Leaving,Q4,2014 Q4,2
2015,241.50,Leaving,Q1,2015 Q1,2
2015,246.70,Leaving,Q2,2015 Q2,2
2015,251.90,Leaving,Q3,2015 Q3,2
2015,257.10,Leaving,Q4,2015 Q4,2
2016,262.30,Leaving,Q1,2016 Q1,2
2016,264.25,Leaving,Q2,2016 Q2,2
2016,266.20,Leaving,Q3,2016 Q3,2
2016,268.15,Leaving,Q4,2016 Q4,2