Country,income
Aruba,29127.75938
Afghanistan,355.7778264
Angola,1927.474078
Albania,6377.203096
Andorra,42066.49052
United Arab Emirates,44332.34005
Argentina,10650.86046
Armenia,4972.783204
American Samoa,16653.71378
Antigua and Barbuda,17178.54372
Australia,60697.24544
Austria,53517.89045
Azerbaijan,5408.045352
Burundi,221.1578034
Belgium,51863.83116
Benin,1360.911474
Burkina Faso,888.8036109
Bangladesh,2457.964466
Bulgaria,12219.34187
Bahrain,26850.00339
Bahamas,27871.37233
Bosnia and Herzegovina,7237.274463
Belarus,7489.718947
Belize,6060.968223
Bermuda,114274.622
Bolivia,3345.023002
Brazil,7794.880979
Barbados,17586.33001
Brunei,31448.91275
Bhutan,3561.225287
Botswana,7244.158548
Central African Republic,461.137511
Canada,52496.84417
Switzerland,93446.43445
Chile,16185.91477
China,12617.5051
Ivory Coast,2649.173048
Cameroon,1654.257037
Congo,2540.470024
Colombia,6182.955944
Comoros,1577.470841
Cape Verde,3489.973397
Costa Rica,12604.04884
Cuba,14856.49312
Curacao,17980.08869
Cayman Islands,88940.15659
Cyprus,32745.83984
Czechia,26822.51419
Germany,51426.75037
Djibouti,3062.551482
Dominica,7668.158132
Denmark,69268.6518
Dominican Republic,8476.749639
Algeria,4216.251285
Ecuador,6036.447274
Egypt,3886.722498
Eritrea,36508.17258
Spain,30488.82095
Estonia,27698.47935
Ethiopia,925.0006976
Finland,53504.69365
Fiji,4656.051362
France,43671.30841
Faroe Islands,69108.20658
Micronesia,3447.33097
Gabon,8635.797144
United Kingdom,46869.75906
Georgia,5083.606955
Ghana,2422.085913
Gibraltar,1805.630956
Guinea,1189.175999
Gambia,762.9632317
Guinea-Bissau,836.8700248
Equatorial Guinea,7473.926061
Greece,20310.68248
Grenada,9010.5128
Greenland,57116.29577
Guatemala,5029.477555
Guam,36555.76014
Guyana,9994.645704
Hong Kong,49770.56424
Honduras,2738.21627
Croatia,17943.41513
Haiti,1823.742224
Hungary,18755.10235
Indonesia,4334.231454
Isle of Man,94124.26833
India,2250.179018
Ireland,102001.7982
Iran,4084.200305
Iraq,4816.784834
Iceland,69252.31124
Israel,52129.51596
Italy,36441.0598
Jamaica,5183.58103
Jordan,4152.757954
Japan,40058.53733
Kazakhstan,10270.88734
Kenya,2069.661129
Kyrgyzstan,1365.508304
Cambodia,1625.235021
Kiribati,2244.110731
Saint Kitts and Nevis,18036.00853
South Korea,35125.5225
Kuwait,33358.46315
Laos,2535.623434
Lebanon,4136.146575
Liberia,676.442927
Libya,7094.99982
Saint Lucia,10213.11544
Liechtenstein,197504.5489
Sri Lanka,3999.338002
Lesotho,1054.93274
Lithuania,23849.6157
Luxembourg,133711.7944
Latvia,20930.39824
Macao,45104.89218
Saint Martin (French part),20320.71688
Morocco,3767.524902
Monaco,235132.7842
Moldova,5274.605822
Madagascar,503.3520812
Maldives,10076.31753
Mexico,10363.19272
Marshall Islands,6130.437137
North Macedonia,7620.80297
Mali,881.5100887
Malta,34951.70817
Myanmar,1233.22777
Montenegro,9465.96153
Mongolia,4566.14013
Northern Mariana Islands,2535.088944
Mozambique,504.0377587
Mauritania,1998.394003
Mauritius,9068.97293
Malawi,632.5331926
Malaysia,11134.62295
Namibia,4901.875889
New Caledonia,37247.49312
Niger,590.6294948
Nigeria,2065.77441
Nicaragua,2064.664619
Netherlands,58727.87055
Norway,93072.89251
Nepal,1229.394204
Nauru,14018.88584
New Zealand,49624.18167
Oman,19509.46646
Pakistan,1506.108293
Panama,15491.2898
Peru,6713.662054
Philippines,3460.539382
Palau,12752.8953
Papua New Guinea,2624.60411
Poland,18050.27789
Puerto Rico,32619.25042
North Korea,28640.20846
Portugal,24661.16649
Paraguay,5959.441794
Palestine,3678.635657
French Polynesia,20230.24105
Qatar,66858.74172
Romania,14946.62497
Russia,12521.52246
Rwanda,822.2680412
Saudi Arabia,24315.61533
Sudan,749.7067871
Senegal,1630.695072
Singapore,79601.41296
Solomon Islands,2151.293017
Sierra Leone,504.6212876
El Salvador,4599.678786
San Marino,54982.45171
Somalia,576.5236782
Serbia,9232.957705
South Sudan,1635.763021
Sao Tome and Principe,2350.452701
Suriname,5026.879493
Slovakia,21765.7225
Slovenia,29331.0647
Sweden,61417.68088
Eswatini,4068.57379
Sint Maarten (Dutch part),33238.45587
Seychelles,14982.91115
Syria,421.1173452
Turks and Caicos Islands,23180.88517
Chad,685.690315
Togo,964.99811
Thailand,7070.512507
Tajikistan,916.6919671
Turkmenistan,7885.299896
Timor-Leste,2741.95082
Tonga,4425.971492
Trinidad and Tobago,16056.30204
Tunisia,3817.377174
Turkey,9743.213131
Tuvalu,5372.760239
Tanzania,1146.031982
Uganda,883.8920262
Ukraine,4827.845703
Uruguay,17733.85516
United States of America,71055.87619
Uzbekistan,1993.424478
Saint Vincent and the Grenadines,8360.099739
Venezuela,19565.4026
British Virgin Islands,30770.70545
United States Virgin Islands,41976.00831
Vietnam,3759.948329
Vanuatu,2978.012598
Samoa,3857.689742
Kosovo,5270.55064
Yemen,583.8490413
South Africa,7073.612754
Zambia,1134.713454
Zimbabwe,1773.920411