Country,Percent
China,77.3
India,62.6
United States of America,92.4
Indonesia,78.8
Pakistan,70.8
Brazil,77.1
Nigeria,63.8
Russia,89.5
Bangladesh,75.9
Japan,94.2
Mexico,75.1
Egypt,73.9
Iran,88.8
Germany,93.3
Turkey,87.6
Philippines,64.1
Vietnam,69.9
United Kingdom,96.6
France,92.2
South Korea,95.4
Spain,89.3
Thailand,75.5
Italy,85.3
Saudi Arabia,96.9
Poland,93.3
Canada,89
Argentina,88.4
Tanzania,52
South Africa,53.6
Colombia,76.4
Malaysia,75.5
Ukraine,65.6
Algeria,59.6
Myanmar,44
Morocco,59.5
Taiwan,91.9
Australia,97.6
Venezuela,72.9
Ethiopia,30.3
Iraq,43.4
Uzbekistan,49
Nepal,53.9
Netherlands,90.7
Peru,46.5
Chile,76.3
Kazakhstan,72.5
Romania,64.9
Sudan,27.4
Ghana,45.9
C̫te d'Ivoire,38.8
Uganda,22.2
Belgium,86.3
Sweden,95.6
Ecuador,53.5
United Arab Emirates,95.2
Kenya,16.7
Czech Republic,79.5
Switzerland,91.4
Greece,75.9
Azerbaijan,75.3
Austria,86.1
Portugal,84.9
Yemen,22.9
Hungary,76.8
Sri Lanka,32.7
Belarus,73.6
Democratic Republic of the Congo,29.5
Dominican Republic,62.9
Guatemala,66.7
Israel,76.3
"Hong Kong, China",93
Jordan,58.1
Tunisia,64.6
Syria,29.3
Serbia,84.7
Mozambique,19.2
Cuba,50.1
Cameroon,20.5
Denmark,92.4
Cambodia,32.8
Norway,94.8
Bolivia,40.1
Finland,97.7
Singapore,81.1
Zambia,24.4
Lebanon,85
Senegal,27.8
Bulgaria,65.2
Zimbabwe,28
Slovakia,81.6
New Zealand,97.5
Angola,12.4
Paraguay,62.1
Afghanistan,10.1
Kuwait,95.4
Ireland,80.7
Oman,82.2
Costa Rica,68.1
Palestine,62.5
Moldova,69.9
Burkina Faso,13.8
Honduras,29
Croatia,69.2
Puerto Rico (U.S.),81.8
Rwanda,19.7
Malawi,12.9
Qatar,94.2
Madagascar,8.7
Bosnia and Herzegovina,70.9
Panama,54.5
Georgia,91.7
Uruguay,84.9
Mali,10.8
Kyrgyzstan,35.4
Lithuania,80.5
Niger,8.7
Albania,73.7
Armenia,73.2
El Salvador,31.6
Tajikistan,20.1
Laos,23.6
Nicaragua,25.3
Slovenia,77.4
North Macedonia,75.6
Latvia,84.6
Benin,12.1
Guinea,10.7
Bahrain,97.8
Jamaica,49.9
Libya,20.6
Haiti,11.8
Turkmenistan,19.3
Estonia,91.2
Trinidad and Tobago,69.4
Gabon,44.4
South Sudan,9.3
Sierra Leone,11.9
Chad,5.6
Togo,11.1
Cyprus,76.5
Botswana,36.7
Namibia,36.9
Papua New Guinea,9.3
Mauritania,19.9
Mongolia,21.8
Mauritius,54.1
Lesotho,29.2
Burundi,4.8
Luxembourg,89.3
Djibouti,48.2
"Macau, China",90.2
Congo,7.8
Fiji,48.9
Montenegro,80.4
Gambia,15.8
Eswatini,34.7
Brunei,91.3
Bhutan,50
Liberia,7.3
